渔船ID,x,y,速度,方向,time
9332,6007057.889386843,4973335.434506465,4.7,126,1117 11:54:31
9332,6009427.906995888,4973577.157837285,8.8,265,1117 11:44:32
9332,6012008.428897463,4974029.080596446,8.42,271,1117 11:34:30
9332,6014784.058775128,4974040.844028658,8.09,271,1117 11:24:30
9332,6017359.36654048,4974277.281107359,1.89,258,1117 11:14:39
9332,6020037.340979431,4974510.854530698,8.31,265,1117 11:04:27
9332,6022610.072956618,4974640.191875443,6.21,267,1117 10:54:37
9332,6022610.072956618,4974640.191875443,6.21,267,1117 10:54:26
9332,6022813.0023429785,4974524.7930667335,5.18,50,1117 10:44:27
9332,6024984.802715711,4975102.385333332,7.77,256,1117 10:34:23
9332,6027564.836651525,4975558.260920463,6.42,263,1117 10:24:32
9332,6030137.435721526,4975689.49597675,8.42,262,1117 10:14:24
9332,6032707.605266819,4975712.943881278,8.47,270,1117 10:04:41
9332,6033835.013738702,4975567.320318877,0.32,318,1117 09:54:20
9332,6033835.013738702,4975567.320318877,0.32,0,1117 09:44:22
9332,6033835.013738702,4975567.320318877,0.0,347,1117 09:34:18
9332,6033835.013738702,4975567.320318877,0.0,256,1117 09:24:15
9332,6033835.013738702,4975567.320318877,0.22,162,1117 09:14:15
9332,6033835.013738702,4975567.320318877,0.32,345,1117 09:04:12
9332,6033835.013738702,4975567.320318877,0.11,0,1117 08:54:19
9332,6033835.013738702,4975567.320318877,0.11,211,1117 08:44:13
9332,6033835.013738702,4975567.320318877,0.11,135,1117 08:34:07
9332,6033835.013738702,4975567.320318877,0.22,110,1117 08:24:18
9332,6033835.013738702,4975567.320318877,0.22,315,1117 08:14:17
9332,6033835.013738702,4975567.320318877,0.32,139,1117 08:04:06
9332,6033835.013738702,4975567.320318877,0.22,286,1117 07:54:11
9332,6033835.013738702,4975567.320318877,0.32,111,1117 07:44:12
9332,6033835.013738702,4975567.320318877,0.11,129,1117 07:34:03
9332,6033835.013738702,4975567.320318877,0.32,91,1117 07:24:02
9332,6033835.013738702,4975567.320318877,0.0,138,1117 07:14:02
9332,6033835.013738702,4975567.320318877,0.22,134,1117 07:04:01
9332,6033835.013738702,4975567.320318877,0.11,133,1117 06:54:03
9332,6033835.013738702,4975567.320318877,0.32,102,1117 06:43:59
9332,6033832.60070507,4975458.886986628,0.38,341,1117 06:33:57
9332,6033832.60070507,4975458.886986628,0.22,137,1117 06:24:02
9332,6033937.726145983,4975563.945572682,0.22,294,1117 06:14:00
9332,6033935.31384745,4975455.512216281,0.22,121,1117 06:04:01
9332,6033727.473999394,4975353.829902232,2.81,9,1117 05:53:54
9332,6034045.262090722,4975777.439891004,8.8,231,1117 05:43:55
9332,6036443.579394276,4977326.702025063,7.88,228,1117 05:33:51
