渔船ID,x,y,速度,方向,time
9829,6465669.045983791,5502841.192574547,0.65,35,1110 11:54:16
9829,6465670.741675853,5502620.88807072,0.59,38,1110 11:44:16
9829,6465572.6701485375,5502509.788942578,0.97,43,1110 11:34:16
9829,6465475.442765593,5502288.539709342,0.59,324,1110 11:24:16
9829,6465477.980513666,5501958.087268352,0.65,303,1110 11:14:16
9829,6465381.591529608,5501626.691849696,1.3,42,1110 11:04:17
9829,6465187.110786984,5501184.2076286385,1.57,32,1110 10:55:14
9829,6465090.706945632,5500852.820608608,1.19,351,1110 10:44:16
9829,6464995.138563645,5500411.290031945,1.19,350,1110 10:34:17
9829,6464997.661566085,5500080.850977259,1.46,3,1110 10:24:16
9829,6465099.125948901,5499751.355852308,0.59,332,1110 10:14:17
9829,6465200.595355351,5499421.864156972,1.35,345,1110 10:04:17
9829,6465006.069712954,5498979.404710982,0.86,31,1110 09:54:17
9829,6464910.480769465,5498537.892996168,1.3,47,1110 09:44:17
9829,6464715.0914627975,5498205.58909148,1.3,23,1110 09:34:17
9829,6464619.484824645,5497764.087631792,1.46,18,1110 09:24:17
9829,6464523.870625623,5497322.591351763,1.35,11,1110 09:14:17
9829,6464428.24886719,5496881.100253662,1.89,44,1110 09:04:17
9829,6464232.818192728,5496548.817851971,1.78,11,1110 08:55:15
9829,6464038.207639443,5496106.4051123895,1.19,149,1110 08:44:17
9829,6464735.190852329,5495562.270602962,1.57,206,1110 08:34:17
9829,6464928.946635276,5496114.827988993,1.19,205,1110 08:24:17
9829,6465026.237581137,5496336.042113552,2.05,59,1110 08:14:17
9829,6465040.5131725725,5494463.753099704,6.48,6,1110 08:04:17
9829,6465056.458447924,5492371.286114254,6.85,359,1110 07:54:18
9829,6465567.481295955,5490283.6369875865,8.09,342,1110 07:44:18
9829,6465779.870044075,5488413.494658023,0.86,250,1110 07:34:16
9829,6466076.1205118885,5488526.463369481,0.38,202,1110 07:24:17
9829,6465868.760679071,5489735.8742701365,9.07,177,1110 07:14:18
9829,6465450.7767226035,5492595.315552953,9.77,181,1110 07:04:17
9829,6465528.681070646,5495349.539982518,10.09,191,1110 06:55:15
9829,6465117.637665602,5497328.226855292,8.15,179,1110 06:44:17
9829,6465097.44237756,5499971.646681469,8.47,182,1110 06:34:17
9829,6464979.153564082,5502504.1261001015,7.39,177,1110 06:24:17
9829,6464665.610570653,5504704.397060461,8.36,144,1110 06:14:17
9829,6463460.544129497,5507116.7380027035,8.96,149,1110 06:04:17
9829,6462962.004622643,5507662.940650485,9.07,326,1110 05:54:17
9829,6464757.788423147,5505586.600361392,8.74,303,1110 05:44:18
9829,6464664.771055325,5504814.554284168,4.7,35,1110 05:34:18
9829,6464764.512436886,5504705.335252982,1.78,349,1110 05:24:18
9829,6465269.157105328,5503388.17558213,7.56,358,1110 05:14:18
9829,6464592.69203338,5501288.716717681,7.07,41,1110 05:04:18
9829,6463218.405002773,5499843.781366597,6.69,36,1110 04:55:16
9829,6462727.800632256,5499288.452945061,0.59,310,1110 04:44:18
9829,6462727.800632256,5499288.452945061,0.49,297,1110 04:34:18
9829,6462727.800632256,5499288.452945061,0.38,270,1110 04:24:18
9829,6462727.800632256,5499288.452945061,0.65,313,1110 04:14:18
9829,6462727.800632256,5499288.452945061,0.16,0,1110 04:04:18
9829,6462727.800632256,5499288.452945061,0.59,187,1110 03:54:18
9829,6462727.800632256,5499288.452945061,0.27,0,1110 03:44:18
9829,6462727.800632256,5499288.452945061,0.38,310,1110 03:34:18
9829,6462727.800632256,5499288.452945061,0.65,161,1110 03:24:18
9829,6462727.800632256,5499288.452945061,0.49,162,1110 03:14:18
9829,6462826.746461291,5499289.371738778,0.65,274,1110 03:04:18
9829,6462826.746461291,5499289.371738778,0.27,69,1110 02:55:16
9829,6462826.746461291,5499289.371738778,0.59,0,1110 02:44:18
9829,6462727.800632256,5499288.452945061,0.16,0,1110 02:34:18
