渔船ID,x,y,速度,方向,time
9006,5350101.113456831,4590529.658635348,10.09,258,1103 11:51:21
9006,5356328.739453518,4591521.911293676,9.17,251,1103 11:30:06
9006,5359289.407005928,4592087.791992191,9.17,259,1103 11:20:05
9006,5362348.30293671,4592538.208827181,10.09,250,1103 11:10:04
9006,5365413.046750907,4593095.80129016,9.88,261,1103 11:00:02
9006,5368471.984543021,4593548.076460054,9.71,253,1103 10:50:03
9006,5371536.737958015,4594107.5386844715,10.09,259,1103 10:40:03
9006,5374699.802767502,4594551.697797642,9.77,256,1103 10:30:00
9006,5377868.659104749,4595103.117771759,10.09,252,1103 10:20:01
9006,5381043.258869862,4595761.8167381035,10.09,261,1103 10:09:58
9006,5384310.478668775,4596199.080043978,5.4,281,1103 09:59:59
9006,5390740.9293161705,4597086.577847066,10.09,256,1103 09:39:55
9006,5394008.264996937,4597526.966951516,10.09,255,1103 09:29:55
9006,5397171.516981002,4597978.157078673,9.71,256,1103 09:19:52
9006,5400346.083894215,4598642.961150917,10.09,254,1103 09:09:54
9006,5403624.742536083,4599299.09291376,10.09,251,1103 08:59:50
9006,5406788.01364255,4599753.301572686,10.09,249,1103 08:49:52
9006,5409956.90478876,4600314.829607239,9.12,253,1103 08:39:53
9006,5413229.9284428,4600867.7687662495,7.18,257,1103 08:29:50
9006,5416393.241179328,4601324.984622125,10.09,258,1103 08:19:48
9006,5419556.574952908,4601783.188609926,4.37,251,1103 08:09:47
9006,5422824.083761593,4602232.8882067315,5.61,255,1103 07:59:47
9006,5425987.460919604,4602693.100021863,5.99,253,1103 07:49:47
9006,5429057.6898968285,4603376.459345815,4.37,259,1103 07:39:48
9006,5432226.548079253,4603944.997736739,3.62,263,1103 07:29:43
9006,5435389.92283324,4604408.158092489,5.4,276,1103 07:19:42
9006,5438454.589206656,4604988.024066552,10.09,259,1103 07:09:49
9006,5444770.5303186085,4605706.445158939,10.09,256,1103 06:49:39
9006,5447933.970310645,4606173.5198387,8.58,257,1103 06:39:39
9006,5451108.193080603,4606854.390250473,10.09,255,1103 06:29:37
9006,5454266.2510430785,4607217.041526694,10.09,257,1103 06:19:36
9006,5457325.504521603,4607696.23079204,10.09,261,1103 06:09:36
9006,5460483.62350647,4608060.810188044,10.09,258,1103 05:59:35
9006,5463647.102934424,4608532.791598447,9.71,254,1103 05:49:34
9006,5466810.5880011115,4609005.76057114,10.09,255,1103 05:39:32
9006,5469963.50213801,4609266.8470026115,9.28,255,1103 05:29:29
9006,5472183.77386854,4609716.279006945,1.62,195,1103 05:19:29
9006,5472517.532591221,4610115.050416454,1.67,230,1103 05:09:29
9006,5473273.421763272,4610584.32870522,2.81,252,1103 04:59:27
9006,5474013.480395007,4610734.3359365575,2.91,250,1103 04:49:25
9006,5476968.4343874315,4611228.461167108,9.88,264,1103 04:39:25
9006,5480131.823200002,4611705.612623156,2.0,226,1103 04:30:01
9006,5484671.0538045205,4612494.166719605,3.89,257,1103 04:09:19
9006,5487693.813680196,4612237.293434593,8.69,288,1103 03:59:19
9006,5489820.671543249,4610774.265096085,7.61,326,1103 03:49:40
9006,5489028.736754408,4609558.556695754,7.99,50,1103 03:39:22
9006,5488142.856001951,4608564.717813768,5.4,61,1103 03:29:18
9006,5486918.1995009715,4607065.350122075,6.8,50,1103 03:19:19
9006,5486699.8958303,4604732.668022283,5.61,356,1103 03:09:16
9006,5485965.41771362,4602550.95173914,7.72,20,1103 02:59:06
9006,5484990.536203685,4601885.838850288,8.69,180,1103 02:49:10
9006,5484285.971011195,4604617.275874329,7.5,163,1103 02:39:18
9006,5485995.394849539,4607464.3642570935,5.72,158,1103 02:19:08
9006,5484212.5852323165,4607402.249786623,7.29,61,1103 02:09:15
9006,5482523.645882165,4607118.6758513525,2.81,215,1103 01:49:07
9006,5482742.578397457,4607313.7615358215,1.08,228,1103 01:39:06
9006,5482846.834013033,4607304.869922673,0.22,207,1103 01:29:04
9006,5482758.209901749,4607633.0739407735,3.72,176,1103 01:19:03
