渔船ID,x,y,速度,方向,time
10650,6102447.835459041,5112650.6856478965,0.05,0,1120 23:55:23
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 23:45:23
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 23:35:23
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 23:25:23
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 23:15:23
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 23:05:23
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 22:55:23
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 22:45:23
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 22:36:21
10650,6102447.835459041,5112650.6856478965,0.05,0,1120 22:25:23
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 22:15:23
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 22:05:23
10650,6102447.835459041,5112650.6856478965,0.05,0,1120 21:55:23
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 21:45:23
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 21:35:23
10650,6102447.835459041,5112650.6856478965,0.05,0,1120 21:25:23
10650,6102449.88089159,5112759.650761558,0.0,0,1120 21:15:23
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 21:05:23
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 20:55:23
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 20:45:23
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 20:36:21
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 20:25:23
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 20:15:23
10650,6102447.835459041,5112650.6856478965,0.05,0,1120 20:05:23
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 19:55:23
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 19:45:23
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 19:35:23
10650,6102447.835459041,5112650.6856478965,0.05,0,1120 19:27:30
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 19:05:23
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 18:55:23
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 18:45:24
10650,6102447.835459041,5112650.6856478965,0.05,0,1120 18:36:22
10650,6102449.88089159,5112759.650761558,0.05,0,1120 18:25:24
10650,6102447.835459041,5112650.6856478965,0.16,0,1120 18:15:24
10650,6102449.88089159,5112759.650761558,0.05,0,1120 18:05:24
10650,6102447.835459041,5112650.6856478965,0.05,0,1120 17:55:24
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 17:45:24
10650,6102447.835459041,5112650.6856478965,0.05,0,1120 17:35:24
10650,6102449.88089159,5112759.650761558,0.05,0,1120 17:25:24
10650,6102447.835459041,5112650.6856478965,0.16,0,1120 17:15:24
10650,6102449.88089159,5112759.650761558,0.05,0,1120 17:05:24
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 16:55:24
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 16:45:24
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 16:36:22
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 16:25:25
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 16:15:25
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 16:05:25
10650,6102447.835459041,5112650.6856478965,0.05,0,1120 15:55:24
10650,6102447.835459041,5112650.6856478965,0.05,0,1120 15:45:24
10650,6102449.88089159,5112759.650761558,0.05,0,1120 15:35:24
10650,6102447.835459041,5112650.6856478965,0.05,0,1120 15:25:24
10650,6102449.88089159,5112759.650761558,0.0,0,1120 15:15:24
10650,6102447.835459041,5112650.6856478965,0.05,0,1120 15:05:24
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 14:55:24
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 14:45:24
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 14:36:22
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 14:25:25
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 14:15:25
10650,6102449.88089159,5112759.650761558,0.16,0,1120 14:05:25
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 13:55:25
10650,6102447.835459041,5112650.6856478965,0.05,0,1120 13:45:24
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 13:35:24
10650,6102449.88089159,5112759.650761558,0.0,0,1120 13:25:24
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 13:15:24
10650,6102449.88089159,5112759.650761558,0.05,0,1120 13:05:24
10650,6102447.835459041,5112650.6856478965,0.05,0,1120 12:55:24
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 12:45:25
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 12:36:23
10650,6102447.835459041,5112650.6856478965,0.05,0,1120 12:25:25
10650,6102447.835459041,5112650.6856478965,0.05,0,1120 12:15:25
10650,6102447.835459041,5112650.6856478965,0.05,0,1120 12:05:25
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 11:55:25
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 11:45:25
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 11:35:25
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 11:25:26
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 11:15:26
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 11:05:26
10650,6102447.835459041,5112650.6856478965,0.05,0,1120 10:55:26
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 10:45:26
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 10:36:23
10650,6102447.835459041,5112650.6856478965,0.05,0,1120 10:25:26
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 10:15:26
10650,6102447.835459041,5112650.6856478965,0.05,0,1120 10:05:25
10650,6102447.835459041,5112650.6856478965,0.05,0,1120 09:55:26
10650,6102447.835459041,5112650.6856478965,0.05,0,1120 09:45:25
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 09:35:25
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 09:25:25
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 09:15:24
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 09:05:25
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 08:55:25
10650,6102447.835459041,5112650.6856478965,0.05,0,1120 08:45:25
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 08:36:23
10650,6102447.835459041,5112650.6856478965,0.05,0,1120 08:25:25
10650,6102447.835459041,5112650.6856478965,0.05,0,1120 08:15:25
10650,6102449.88089159,5112759.650761558,0.0,0,1120 08:05:26
10650,6102447.835459041,5112650.6856478965,0.27,0,1120 07:55:26
10650,6102447.835459041,5112650.6856478965,0.05,0,1120 07:45:25
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 07:35:26
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 07:25:26
10650,6102447.835459041,5112650.6856478965,0.05,0,1120 07:15:25
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 07:05:25
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 06:55:26
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 06:45:26
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 06:36:25
10650,6102447.835459041,5112650.6856478965,0.0,0,1120 06:25:26
