x_min,x_max,x_mean,x_1/4,y_min,y_max,y_mean,y_3/4,xy_cov,a,v_mean,v_std,v_3/4,d_mean,static_ratio,medium_v_ratio,type
23.596999999999998,23.59800000000001,23.597034482758623,23.596999999999998,117.428,117.429,117.42849261083742,117.429,-1.7014519056544752e-08,7.883235905397918e-08,0.010147783251231527,0.03813684456878242,0.0,2.766830870279146,0.8981937602627258,0.0,2.0
25.671999999999997,25.673000000000002,25.672121765601222,25.671999999999997,119.634,119.63600000000001,119.63527853881278,119.63600000000001,1.7861120392196483e-08,1.831600937967783e-07,0.04855403348554034,0.12235946600261051,0.0,111.6986301369863,0.7929984779299848,0.0,0.0
28.303,28.391,28.354830508474578,28.357,121.618,122.075,121.6680861581921,121.619,-0.000428030637930598,1.0712704425836903e-06,0.35974576271186437,1.5293884635603252,0.0,96.48305084745763,0.8361581920903954,0.06896551724137931,1.0
22.03,22.115,22.086116104868914,22.075,116.255,116.501,116.3983745318352,116.435,-1.2453422883067916e-05,5.155517563470675e-06,2.9813483146067417,1.0880338800264882,3.62,164.87640449438203,0.011235955056179775,0.8068181818181818,2.0
21.344,22.511,22.05142057761733,21.744,115.60600000000001,117.611,116.6635974729242,117.04775,0.13196751679712232,9.733283641286275e-06,4.05846570397112,2.486202430241373,5.5,167.24548736462094,0.007220216606498195,0.5654545454545454,2.0
28.576999999999998,29.826999999999998,28.99641911764706,28.76275,121.46700000000001,122.978,122.44198529411766,122.74700000000001,0.08834661736550174,1.8890829975509615e-05,3.923779411764706,2.710184519179396,4.75,144.73823529411766,0.10441176470588236,0.7257799671592775,0.0
24.331,25.19400000000001,24.738581765557164,24.555999999999997,118.76299999999999,120.67299999999999,119.91943560057888,120.40799999999999,-0.002170424799177383,1.5240331404329253e-05,3.564008683068018,2.922869593532024,5.02,128.33863965267727,0.19247467438494936,0.6612903225806451,2.0
25.342,25.691999999999997,25.475880706921938,25.465999999999998,119.833,120.154,119.88614580265093,119.84,0.002415306504446559,3.782214336518123e-06,0.4261266568483063,1.3260059981908892,0.0,127.69219440353461,0.8262150220913107,0.5,2.0
23.035999999999998,23.291999999999998,23.170301075268817,23.073,117.449,118.24,117.80110752688171,117.97749999999999,0.015169967509863018,6.939362518062877e-06,3.9345519713261656,0.9342783137871747,4.48,193.81720430107526,0.0,0.9354838709677419,2.0
27.534000000000002,27.85,27.749597959183674,27.735,121.678,122.11200000000001,121.94479387755102,122.029,0.007125383218563501,5.36264512237345e-06,1.6657755102040817,2.3386442139233625,2.48,160.66734693877552,0.336734693877551,0.30153846153846153,0.0
24.287,24.726999999999997,24.541282991202344,24.41625,118.681,119.06700000000001,118.80443695014664,118.854,-0.0006911840402031651,1.5224808030267881e-05,2.6785043988269797,2.3967399157847753,4.182499999999999,144.39736070381232,0.3020527859237537,0.7352941176470589,2.0
23.886999999999997,24.166,23.99565111561866,23.916,117.962,118.571,118.2878864097363,118.419,-0.013757029547815316,4.66095021379621e-06,2.2150709939148077,2.857410108023947,3.99,141.95334685598377,0.43610547667342797,0.43884892086330934,1.0
23.28,23.66,23.507888226527566,23.4015,117.351,118.057,117.64831296572282,117.7495,-0.009494688847120675,1.1002436205993649e-05,3.5062146050670644,1.722927301199679,4.26,162.99105812220566,0.10432190760059612,0.9068219633943427,1.0
28.092,29.334,28.95639589905363,28.64125,121.866,124.65299999999999,123.5553280757098,124.368,-0.13682060244392336,8.767488211060469e-06,2.2081703470031546,2.556633745759567,3.02,146.47003154574134,0.2996845425867508,0.5202702702702703,0.0
23.8,24.044,23.9868678343949,24.039,117.64299999999999,117.72200000000001,117.69826592356692,117.709,0.001863754500248954,2.7145350564051123e-06,0.5541719745222929,1.5096019466611852,0.0,88.9140127388535,0.8105095541401274,0.5798319327731093,1.0
