渔船ID,lat,lon,速度,方向,time,type
24108,25.567,120.482,3.62,1,1023 23:59:03,围网
24108,25.56,120.48,3.18,30,1023 23:48:53,围网
24108,25.553,120.476,3.29,30,1023 23:38:49,围网
24108,25.545,120.473,3.51,20,1023 23:28:48,围网
24108,25.538,120.47,2.81,20,1023 23:18:44,围网
24108,25.53,120.467,2.7,20,1023 23:08:42,围网
24108,25.523000000000003,120.464,2.32,10,1023 22:58:42,围网
24108,25.516,120.462,2.91,20,1023 22:48:39,围网
24108,25.508000000000006,120.46,3.02,10,1023 22:38:37,围网
24108,25.501,120.457,2.7,20,1023 22:28:35,围网
24108,25.493,120.454,2.7,352,1023 22:18:37,围网
24108,25.486,120.452,2.7,20,1023 22:08:45,围网
24108,25.477,120.448,3.51,20,1023 21:58:43,围网
24108,25.462,120.427,9.5,30,1023 21:48:33,围网
24108,25.443,120.411,8.42,20,1023 21:38:42,围网
24108,25.421,120.397,8.58,20,1023 21:28:42,围网
24108,25.399,120.385,9.01,20,1023 21:18:43,围网
24108,25.375,120.374,4.1,8,1023 21:08:31,围网
24108,25.353,120.367,9.17,10,1023 20:59:06,围网
24108,25.329,120.357,8.9,30,1023 20:48:33,围网
24108,25.323,120.353,1.3,189,1023 20:38:48,围网
24108,25.325,120.352,1.4,107,1023 20:28:25,围网
24108,25.327,120.351,1.51,198,1023 20:18:26,围网
24108,25.33,120.35,1.03,164,1023 20:08:26,围网
24108,25.333,120.35,1.08,171,1023 19:58:22,围网
24108,25.335,120.35,0.7,91,1023 19:48:21,围网
24108,25.336,120.349,0.59,61,1023 19:38:20,围网
24108,25.343000000000004,120.351,3.02,209,1023 19:28:17,围网
24108,25.349,120.355,4.1,194,1023 19:18:15,围网
24108,25.356,120.36,1.19,202,1023 19:08:09,围网
24108,25.378,120.372,3.18,190,1023 18:38:14,围网
24108,25.386,120.377,2.7,217,1023 18:28:10,围网
24108,25.392,120.383,2.91,212,1023 18:18:14,围网
24108,25.399,120.389,3.18,227,1023 18:08:09,围网
24108,25.412,120.402,2.81,215,1023 17:48:12,围网
24108,25.419,120.408,3.18,227,1023 17:38:11,围网
24108,25.425,120.416,3.18,214,1023 17:28:11,围网
24108,25.432,120.422,3.62,221,1023 17:18:10,围网
24108,25.44,120.428,3.29,228,1023 17:08:13,围网
24108,25.447,120.435,2.32,223,1023 16:58:07,围网
24108,25.454,120.442,3.08,214,1023 16:48:05,围网
24108,25.462,120.449,3.18,218,1023 16:38:00,围网
24108,25.469,120.456,3.29,230,1023 16:28:01,围网
24108,25.476,120.463,2.91,189,1023 16:17:58,围网
24108,25.494,120.474,3.08,212,1023 15:58:00,围网
24108,25.502,120.48,3.51,221,1023 15:47:56,围网
24108,25.51,120.485,3.18,216,1023 15:37:55,围网
24108,25.518,120.491,2.91,227,1023 15:27:55,围网
24108,25.527,120.497,1.89,191,1023 15:17:54,围网
24108,25.535,120.501,3.18,207,1023 15:07:50,围网
24108,25.544,120.505,3.08,211,1023 14:57:52,围网
24108,25.553,120.51,3.02,225,1023 14:47:52,围网
24108,25.561,120.515,3.02,196,1023 14:37:52,围网
24108,25.569000000000006,120.521,3.29,212,1023 14:27:48,围网
24108,25.577,120.526,3.51,219,1023 14:17:50,围网
24108,25.585,120.531,3.62,217,1023 14:07:51,围网
24108,25.585,120.531,3.62,217,1023 14:07:47,围网
24108,25.595,120.539,8.58,261,1023 13:57:46,围网
24108,25.57,120.543,9.5,2,1023 13:47:44,围网
24108,25.548,120.54,2.21,206,1023 13:37:44,围网
24108,25.551,120.542,0.7,246,1023 13:27:44,围网
24108,25.551,120.542,0.7,61,1023 13:17:40,围网
24108,25.552,120.542,1.03,228,1023 13:07:43,围网
24108,25.553,120.543,1.03,349,1023 12:57:41,围网
24108,25.556,120.545,3.29,233,1023 12:47:36,围网
24108,25.566,120.54,3.29,71,1023 12:27:39,围网
24108,25.559,120.535,3.4,30,1023 12:17:39,围网
24108,25.552,120.531,2.59,20,1023 12:07:39,围网
24108,25.545,120.526,3.02,10,1023 11:57:54,围网
24108,25.538,120.522,3.89,40,1023 11:47:57,围网
24108,25.524,120.511,4.1,30,1023 11:28:07,围网
24108,25.518,120.507,2.0,30,1023 11:18:07,围网
24108,25.511,120.501,2.7,10,1023 11:08:01,围网
24108,25.483,120.478,3.62,30,1023 10:27:56,围网
24108,25.476,120.474,1.08,20,1023 10:17:59,围网
24108,25.468000000000004,120.472,3.08,30,1023 10:07:56,围网
24108,25.445,120.46,1.08,10,1023 09:37:52,围网
24108,25.437,120.455,3.08,50,1023 09:27:52,围网
24108,25.43,120.45,2.1,40,1023 09:17:51,围网
24108,25.422,120.445,0.32,30,1023 09:07:50,围网
24108,25.414,120.44,1.4,10,1023 08:57:46,围网
24108,25.406,120.435,1.08,20,1023 08:47:47,围网
24108,25.398000000000003,120.43,2.81,30,1023 08:37:43,围网
24108,25.383000000000006,120.42,3.29,20,1023 08:17:47,围网
24108,25.375,120.413,3.99,30,1023 08:07:55,围网
24108,25.363000000000003,120.402,7.77,309,1023 07:57:43,围网
24108,25.363000000000003,120.405,1.08,211,1023 07:47:43,围网
24108,25.364,120.404,0.32,196,1023 07:37:42,围网
24108,25.365,120.406,1.4,197,1023 07:27:40,围网
24108,25.367,120.406,0.92,196,1023 07:17:37,围网
24108,25.368,120.405,1.62,238,1023 07:07:37,围网
24108,25.372,120.41,2.32,232,1023 06:57:33,围网
24108,25.383000000000006,120.421,2.91,229,1023 06:37:32,围网
24108,25.388,120.426,2.7,220,1023 06:27:33,围网
24108,25.394,120.431,3.08,209,1023 06:17:35,围网
24108,25.401,120.435,3.18,235,1023 06:07:36,围网
24108,25.408,120.44,3.29,203,1023 05:57:28,围网
24108,25.415,120.445,3.4,215,1023 05:47:27,围网
24108,25.422,120.45,3.02,214,1023 05:37:29,围网
24108,25.428,120.456,3.29,219,1023 05:27:27,围网
24108,25.435,120.461,3.18,225,1023 05:17:27,围网
24108,25.443,120.464,3.08,197,1023 05:07:54,围网
24108,25.452,120.468,2.32,223,1023 04:57:22,围网
24108,25.466,120.478,2.81,218,1023 04:37:26,围网
24108,25.473000000000006,120.483,2.91,198,1023 04:27:20,围网
24108,25.48,120.488,3.62,208,1023 04:17:17,围网
24108,25.488000000000003,120.493,2.91,226,1023 04:07:20,围网
24108,25.495,120.499,3.18,212,1023 03:57:16,围网
24108,25.503,120.504,2.59,232,1023 03:47:25,围网
24108,25.51,120.51,3.78,213,1023 03:37:18,围网
24108,25.518,120.514,3.78,199,1023 03:27:15,围网
24108,25.542,120.526,3.62,222,1023 02:57:13,围网
24108,25.553,120.528,5.5,176,1023 02:47:09,围网
24108,25.537,120.521,8.2,10,1023 02:37:13,围网
24108,25.515,120.51,8.09,20,1023 02:27:07,围网
24108,25.499,120.5,0.49,216,1023 02:17:08,围网
24108,25.502,120.503,1.78,220,1023 02:07:29,围网
24108,25.506,120.506,1.19,206,1023 01:57:06,围网
24108,25.509,120.508,1.51,225,1023 01:47:04,围网
24108,25.512,120.51,1.51,194,1023 01:37:04,围网
24108,25.515,120.512,0.49,111,1023 01:27:10,围网
24108,25.516,120.514,3.02,205,1023 01:16:54,围网
24108,25.524,120.519,2.81,205,1023 01:07:00,围网
24108,25.53,120.525,3.18,208,1023 00:57:17,围网
24108,25.538,120.53,3.4,202,1023 00:47:03,围网
24108,25.553,120.54,2.91,204,1023 00:27:03,围网
24108,25.56,120.544,2.59,234,1023 00:17:15,围网
24108,25.567,120.548,3.02,210,1023 00:07:14,围网
24108,25.574,120.553,2.0,231,1022 23:57:03,围网
24108,25.581,120.557,2.81,193,1022 23:47:22,围网
24108,25.589,120.559,3.08,186,1022 23:37:01,围网
24108,25.596,120.553,3.62,91,1022 23:27:03,围网
24108,25.592,120.546,4.1,30,1022 23:16:59,围网
24108,25.585,120.541,3.29,20,1022 23:06:58,围网
24108,25.577,120.536,3.08,20,1022 22:56:52,围网
24108,25.57,120.532,1.4,6,1022 22:46:55,围网
24108,25.562,120.527,1.4,30,1022 22:36:55,围网
24108,25.555,120.522,3.08,20,1022 22:26:51,围网
24108,25.547,120.518,3.08,30,1022 22:16:46,围网
24108,25.539,120.513,2.81,30,1022 22:06:49,围网
24108,25.532,120.508,3.18,30,1022 21:57:05,围网
24108,25.524,120.504,3.08,20,1022 21:47:04,围网
24108,25.516,120.498,0.7,352,1022 21:36:48,围网
24108,25.509,120.492,3.29,30,1022 21:26:48,围网
24108,25.491,120.47,3.02,30,1022 20:56:40,围网
24108,25.479,120.454,2.1,40,1022 20:36:42,围网
24108,25.472,120.448,3.08,40,1022 20:26:34,围网
24108,25.457,120.44,2.7,20,1022 20:06:42,围网
24108,25.449,120.438,3.02,20,1022 19:56:47,围网
24108,25.441,120.434,3.29,8,1022 19:46:48,围网
24108,25.433000000000003,120.431,3.78,10,1022 19:36:48,围网
24108,25.425,120.429,3.4,10,1022 19:26:31,围网
24108,25.416,120.424,1.4,335,1022 19:16:31,围网
