渔船ID,lat,lon,速度,方向,time,type
21202,28.736,123.195,5.4,248,0912 23:51:59,围网
21202,28.743,123.222,8.42,266,0912 23:41:57,围网
21202,28.747,123.249,3.72,241,0912 23:31:56,围网
21202,28.754,123.274,2.32,260,0912 23:21:52,围网
21202,28.763,123.298,1.4,187,0912 23:11:22,围网
21202,28.772,123.322,5.77,255,0912 23:01:47,围网
21202,28.778,123.348,3.51,235,0912 22:51:43,围网
21202,28.784,123.354,1.51,266,0912 22:41:15,围网
21202,28.79,123.355,3.4,202,0912 22:31:39,围网
21202,28.8,123.339,8.8,81,0912 22:21:50,围网
21202,28.805,123.333,2.0,187,0912 22:11:14,围网
21202,28.811,123.332,2.37,176,0912 22:01:23,围网
21202,28.809,123.343,9.12,295,0912 21:51:48,围网
21202,28.796,123.369,10.09,301,0912 21:41:33,围网
21202,28.781,123.393,4.7,287,0912 21:31:04,围网
21202,28.771,123.419,0.38,300,0912 21:20:59,围网
21202,28.767,123.447,2.0,313,0912 21:11:20,围网
21202,28.757,123.474,4.7,290,0912 21:01:17,围网
21202,28.746,123.5,6.21,269,0912 20:51:14,围网
21202,28.74,123.528,6.21,299,0912 20:41:14,围网
21202,28.735,123.547,2.37,274,0912 20:31:08,围网
21202,28.734,123.555,2.59,303,0912 20:21:03,围网
21202,28.733,123.562,1.51,349,0912 20:11:03,围网
21202,28.733,123.571,0.59,264,0912 20:00:58,围网
21202,28.732,123.583,0.81,153,0912 19:50:55,围网
21202,28.742,123.597,5.07,235,0912 19:40:53,围网
21202,28.758000000000006,123.617,3.78,204,0912 19:30:25,围网
21202,28.775,123.636,2.1,213,0912 19:20:21,围网
21202,28.792,123.655,3.08,221,0912 19:10:44,围网
21202,28.811,123.672,7.5,219,0912 19:00:43,围网
21202,28.831,123.688,8.8,198,0912 18:50:43,围网
21202,28.851,123.701,5.88,180,0912 18:40:41,围网
21202,28.851,123.701,5.88,180,0912 18:40:15,围网
21202,28.868,123.718,8.2,191,0912 18:30:42,围网
21202,28.89,123.731,7.39,278,0912 18:20:32,围网
21202,28.909,123.745,8.9,235,0912 18:10:15,围网
21202,28.927,123.763,8.69,221,0912 18:00:26,围网
21202,28.945,123.779,7.77,176,0912 17:50:28,围网
21202,28.967,123.781,7.72,186,0912 17:40:31,围网
21202,28.989,123.784,7.61,182,0912 17:30:28,围网
21202,29.011,123.787,7.77,185,0912 17:20:01,围网
21202,29.034,123.789,7.99,182,0912 17:10:24,围网
21202,29.057,123.792,8.42,195,0912 17:00:23,围网
21202,29.08,123.794,7.99,181,0912 16:50:24,围网
21202,29.103,123.795,8.2,186,0912 16:39:53,围网
