渔船ID,lat,lon,速度,方向,time,type
26144,23.268,117.685,2.7,119,0912 23:55:55,刺网
26144,23.27,117.677,3.08,142,0912 23:45:55,刺网
26144,23.273000000000003,117.669,2.27,94,0912 23:35:55,刺网
26144,23.273000000000003,117.662,2.97,95,0912 23:25:55,刺网
26144,23.275,117.654,2.97,126,0912 23:15:55,刺网
26144,23.278,117.646,3.18,137,0912 23:08:16,刺网
26144,23.283,117.621,2.86,89,0912 22:35:55,刺网
26144,23.283,117.613,3.08,116,0912 22:26:53,刺网
26144,23.284,117.603,4.75,257,0912 22:15:55,刺网
26144,23.287,117.608,2.05,307,0912 22:05:55,刺网
26144,23.286,117.602,3.08,88,0912 21:55:55,刺网
26144,23.286,117.593,2.86,104,0912 21:45:55,刺网
26144,23.285,117.584,3.08,76,0912 21:35:55,刺网
26144,23.284,117.575,2.7,98,0912 21:25:55,刺网
26144,23.284,117.565,3.18,99,0912 21:15:56,刺网
26144,23.284,117.556,3.18,87,0912 21:05:56,刺网
26144,23.284,117.548,2.86,88,0912 20:55:56,刺网
26144,23.284,117.539,3.78,72,0912 20:45:55,刺网
26144,23.283,117.53,2.97,76,0912 20:35:55,刺网
26144,23.283,117.523,2.59,71,0912 20:26:53,刺网
26144,23.283,117.513,2.86,96,0912 20:15:56,刺网
26144,23.278,117.505,3.08,35,0912 20:05:56,刺网
26144,23.271,117.5,2.37,37,0912 19:55:56,刺网
26144,23.263,117.494,3.56,17,0912 19:45:56,刺网
26144,23.256,117.488,3.29,39,0912 19:35:55,刺网
26144,23.249,117.482,3.45,45,0912 19:25:56,刺网
26144,23.242,117.478,2.97,26,0912 19:15:56,刺网
26144,23.234,117.475,3.18,335,0912 19:05:56,刺网
26144,23.225,117.47,1.19,306,0912 18:55:55,刺网
26144,23.223000000000006,117.472,1.08,294,0912 18:45:56,刺网
26144,23.221,117.476,2.59,294,0912 18:35:54,刺网
26144,23.216,117.479,3.29,328,0912 18:29:10,刺网
26144,23.2,117.484,3.18,338,0912 18:05:56,刺网
26144,23.192,117.488,3.18,337,0912 17:55:56,刺网
26144,23.185,117.489,2.59,346,0912 17:45:56,刺网
26144,23.179,117.494,3.08,311,0912 17:35:56,刺网
26144,23.173,117.5,2.86,315,0912 17:28:19,刺网
26144,23.161,117.523,3.08,286,0912 16:58:18,刺网
26144,23.149,117.554,3.08,291,0912 16:15:56,刺网
26144,23.147,117.563,2.97,265,0912 16:05:56,刺网
26144,23.146,117.571,2.75,295,0912 15:55:56,刺网
26144,23.145,117.581,2.97,274,0912 15:45:56,刺网
26144,23.144,117.589,3.18,276,0912 15:35:56,刺网
26144,23.142,117.598,3.08,316,0912 15:25:56,刺网
26144,23.141,117.606,4.26,262,0912 15:15:56,刺网
26144,23.14,117.616,2.7,300,0912 15:05:56,刺网
26144,23.14,117.626,5.56,269,0912 14:55:57,刺网
26144,23.145,117.64,4.26,183,0912 14:45:57,刺网
26144,23.151,117.646,2.7,201,0912 14:35:57,刺网
26144,23.152,117.653,2.27,264,0912 14:26:54,刺网
26144,23.151,117.661,1.67,300,0912 14:15:57,刺网
26144,23.15,117.67,1.78,292,0912 14:05:57,刺网
26144,23.149,117.677,1.35,279,0912 13:58:19,刺网
26144,23.147,117.693,2.27,285,0912 13:35:57,刺网
26144,23.146,117.701,2.7,273,0912 13:25:57,刺网
26144,23.146,117.709,2.37,292,0912 13:15:56,刺网
26144,23.145,117.716,2.86,281,0912 13:05:57,刺网
26144,23.143,117.724,2.48,287,0912 12:55:56,刺网
26144,23.141,117.731,2.59,219,0912 12:45:56,刺网
26144,23.141,117.738,2.7,262,0912 12:35:57,刺网
26144,23.142,117.745,3.89,236,0912 12:26:54,刺网
26144,23.141,117.754,2.16,273,0912 12:15:56,刺网
26144,23.141,117.76,2.16,310,0912 12:08:21,刺网
26144,23.138,117.774,2.59,286,0912 11:45:56,刺网
26144,23.138,117.78,2.7,279,0912 11:35:56,刺网
26144,23.128,117.781,5.18,332,0912 11:25:57,刺网
26144,23.116,117.779,4.7,14,0912 11:15:57,刺网
26144,23.104,117.776,3.99,24,0912 11:05:57,刺网
26144,23.095,117.767,5.77,71,0912 10:55:57,刺网
26144,23.085,117.76,3.45,26,0912 10:45:57,刺网
26144,23.085,117.762,2.75,341,0912 10:35:57,刺网
26144,23.083,117.762,2.05,346,0912 10:26:54,刺网
26144,23.082,117.757,2.05,133,0912 10:18:18,刺网
26144,23.044,117.664,2.27,104,0912 08:05:58,刺网
26144,23.047,117.659,1.67,99,0912 07:55:58,刺网
26144,23.045,117.651,3.35,78,0912 07:45:57,刺网
26144,23.046,117.645,2.48,112,0912 07:35:58,刺网
26144,23.048,117.639,2.27,82,0912 07:25:58,刺网
26144,23.048,117.632,2.48,79,0912 07:15:58,刺网
26144,23.049,117.625,2.7,110,0912 07:05:58,刺网
26144,23.051,117.619,2.37,105,0912 06:55:58,刺网
26144,23.053,117.613,2.16,121,0912 06:45:58,刺网
26144,23.056,117.606,4.48,111,0912 06:35:58,刺网
26144,23.065,117.605,6.26,191,0912 06:26:55,刺网
26144,23.083,117.613,6.69,201,0912 06:15:57,刺网
26144,23.101,117.619,6.96,187,0912 06:05:57,刺网
26144,23.117,117.617,0.76,209,0912 05:55:56,刺网
26144,23.118,117.619,1.08,306,0912 05:45:56,刺网
26144,23.118,117.628,2.75,266,0912 05:35:57,刺网
26144,23.118,117.637,3.35,258,0912 05:25:57,刺网
26144,23.118,117.647,3.56,264,0912 05:15:57,刺网
26144,23.118,117.656,3.18,274,0912 05:05:56,刺网
26144,23.118,117.665,3.35,261,0912 04:55:57,刺网
26144,23.117,117.675,3.18,260,0912 04:45:57,刺网
26144,23.117,117.684,3.29,294,0912 04:35:57,刺网
26144,23.118,117.692,3.08,290,0912 04:26:55,刺网
26144,23.118,117.703,3.29,270,0912 04:15:58,刺网
