渔船ID,lat,lon,速度,方向,time,type
20001,25.172,119.131,0.05,0,0930 23:53:42,围网
20001,25.172,119.131,0.0,0,0930 23:43:42,围网
20001,25.172,119.131,0.05,0,0930 23:33:42,围网
20001,25.172,119.131,0.0,0,0930 23:23:42,围网
20001,25.172,119.131,0.0,0,0930 23:13:42,围网
20001,25.172,119.131,0.0,0,0930 23:03:42,围网
20001,25.172,119.131,0.05,0,0930 22:53:42,围网
20001,25.172,119.131,0.05,0,0930 22:43:42,围网
20001,25.172,119.131,0.0,0,0930 22:33:43,围网
20001,25.172,119.131,0.0,0,0930 22:23:42,围网
20001,25.172,119.131,0.0,0,0930 22:14:41,围网
20001,25.172,119.131,0.05,0,0930 22:03:42,围网
20001,25.172,119.131,0.05,0,0930 21:53:42,围网
20001,25.172,119.131,0.0,0,0930 21:43:42,围网
20001,25.172,119.131,0.0,0,0930 21:33:43,围网
20001,25.172,119.131,0.0,0,0930 21:23:43,围网
20001,25.172,119.131,0.0,0,0930 21:13:43,围网
20001,25.172,119.131,0.0,0,0930 21:03:43,围网
20001,25.172,119.131,0.0,0,0930 20:53:43,围网
20001,25.172,119.131,0.0,0,0930 20:43:43,围网
20001,25.172,119.131,0.0,0,0930 20:33:43,围网
20001,25.172,119.131,0.0,0,0930 20:23:43,围网
20001,25.172,119.131,0.0,0,0930 20:14:41,围网
20001,25.172,119.131,0.0,0,0930 20:03:43,围网
20001,25.172,119.131,0.0,0,0930 19:53:43,围网
20001,25.172,119.131,0.0,0,0930 19:43:43,围网
20001,25.172,119.131,0.0,0,0930 19:33:43,围网
20001,25.172,119.131,0.0,0,0930 19:23:43,围网
20001,25.172,119.131,0.0,0,0930 19:13:43,围网
20001,25.172,119.131,0.0,0,0930 19:03:42,围网
20001,25.172,119.131,0.0,0,0930 18:53:42,围网
20001,25.172,119.131,0.0,0,0930 18:43:44,围网
20001,25.172,119.131,0.0,0,0930 18:33:44,围网
20001,25.172,119.131,0.0,0,0930 18:23:44,围网
20001,25.172,119.131,0.0,0,0930 18:14:41,围网
20001,25.172,119.131,0.0,0,0930 18:03:44,围网
20001,25.172,119.131,0.0,0,0930 17:53:44,围网
20001,25.172,119.131,0.0,0,0930 17:43:44,围网
20001,25.172,119.131,0.0,0,0930 17:33:44,围网
20001,25.172,119.131,0.0,0,0930 17:23:44,围网
20001,25.172,119.131,0.0,0,0930 17:13:44,围网
20001,25.172,119.131,0.0,0,0930 17:03:44,围网
20001,25.172,119.131,0.0,0,0930 16:53:44,围网
