渔船ID,lat,lon,速度,方向,time,type
20006,26.027,120.933,0.38,0,0924 23:58:35,围网
20006,26.028,120.932,0.38,0,0924 23:48:34,围网
20006,26.029,120.931,0.38,0,0924 23:38:34,围网
20006,26.03,120.93,0.49,0,0924 23:28:34,围网
20006,26.031,120.929,0.38,0,0924 23:18:34,围网
20006,26.032,120.928,0.16,0,0924 23:08:35,围网
20006,26.033,120.927,0.27,0,0924 22:58:35,围网
20006,26.035,120.926,0.59,0,0924 22:48:34,围网
20006,26.036,120.925,1.57,183,0924 22:38:35,围网
20006,26.05,120.916,9.39,135,0924 22:28:35,围网
20006,26.067,120.898,9.55,147,0924 22:19:32,围网
20006,26.09,120.878,9.77,157,0924 22:08:35,围网
20006,26.111,120.859,9.88,139,0924 21:58:35,围网
20006,26.134,120.842,9.98,145,0924 21:48:35,围网
20006,26.159,120.828,9.98,149,0924 21:38:36,围网
20006,26.181,120.812,9.28,143,0924 21:28:56,围网
20006,26.196,120.829,0.86,0,0924 19:58:35,围网
20006,26.198,120.832,1.08,219,0924 19:48:36,围网
20006,26.199,120.836,1.3,248,0924 19:38:36,围网
20006,26.201,120.839,1.08,231,0924 19:28:35,围网
20006,26.202,120.843,1.19,273,0924 19:18:36,围网
20006,26.207,120.847,2.97,224,0924 19:08:35,围网
20006,26.222,120.859,10.58,201,0924 18:58:36,围网
20006,26.248,120.871,9.88,201,0924 18:48:35,围网
20006,26.276,120.882,10.58,202,0924 18:38:36,围网
20006,26.302,120.895,10.25,206,0924 18:28:36,围网
20006,26.325,120.909,10.15,217,0924 18:19:33,围网
20006,26.351,120.929,10.36,221,0924 18:08:39,围网
20006,26.375,120.947,9.98,205,0924 17:58:36,围网
20006,26.402,120.961,10.96,205,0924 17:48:36,围网
20006,26.428,120.976,10.58,195,0924 17:38:36,围网
20006,26.455,120.99,10.25,203,0924 17:28:36,围网
20006,26.477,121.01,10.47,219,0924 17:18:36,围网
20006,26.499,121.03,9.17,216,0924 17:08:36,围网
20006,26.519,121.051,10.09,219,0924 16:58:36,围网
20006,26.54,121.071,9.44,219,0924 16:48:36,围网
20006,26.559,121.093,9.88,227,0924 16:38:36,围网
20006,26.58,121.114,9.77,216,0924 16:28:36,围网
20006,26.599,121.132,10.36,231,0924 16:19:33,围网
20006,26.622,121.156,10.09,223,0924 16:08:41,围网
20006,26.643,121.177,9.66,221,0924 15:58:36,围网
20006,26.664,121.199,10.79,217,0924 15:48:36,围网
20006,26.685,121.222,10.47,220,0924 15:38:37,围网
20006,26.707,121.243,10.58,214,0924 15:28:36,围网
20006,26.729,121.264,10.36,214,0924 15:18:37,围网
20006,26.75,121.286,10.47,228,0924 15:08:37,围网
20006,26.77,121.309,10.09,230,0924 14:58:36,围网
20006,26.789,121.331,9.55,235,0924 14:48:36,围网
20006,26.808000000000003,121.355,10.09,234,0924 14:38:37,围网
20006,26.828000000000007,121.379,10.58,224,0924 14:28:37,围网
20006,26.846,121.4,10.58,225,0924 14:19:34,围网
20006,26.867,121.427,9.98,222,0924 14:08:36,围网
20006,26.886,121.45,10.09,233,0924 13:58:37,围网
20006,26.905,121.473,10.15,224,0924 13:48:37,围网
20006,26.925,121.497,9.28,222,0924 13:38:37,围网
20006,26.944000000000006,121.525,10.85,224,0924 13:28:37,围网
20006,26.965,121.55,9.98,223,0924 13:18:37,围网
20006,26.985,121.574,10.25,220,0924 13:08:36,围网
